Source,Relation,Target
Shilajatu,RELIEVES,intrusive thoughts
Shilajatu,RELIEVES,cognitive disturbance
Shilajatu,RELIEVES,chronic alcohol consumption
Vidangadi Lauha,TREATS,cancer
Vidangadi Lauha,TREATS,obsessive-compulsive disorder
Vidangadi Lauha,TREATS,infertility
Vidangadi Lauha,TREATS,sleep disorders
Vidangadi Lauha,TREATS,anxiety
Vidangadi Lauha,TREATS,hypothyroidism
Vidangadi Lauha,TREATS,Alzheimer's disease
Vidangadi Lauha,TREATS,dementia
Vidangadi Lauha,TREATS,HIV infection
Vidangadi Lauha,TREATS,Parkinson's disease
Vidangadi Lauha,TREATS,cerebral oedema
Vidangadi Lauha,TREATS,Canine Cognitive Dysfunction
Vidangadi Lauha,TREATS,Huntington's disease
Vidangadi Lauha,TREATS,Alcohol Withdrawal Syndrome
Vidangadi Lauha,TREATS,autoimmune diseases
Vidangadi Lauha,TREATS,lupus
Vidangadi Lauha,TREATS,nephritis
Vidangadi Lauha,TREATS,rheumatoid diseases
Vidangadi Lauha,TREATS,skin inflammation
Vidangadi Lauha,TREATS,arthritis
Vidangadi Lauha,RELIEVES,sleep
Vidangadi Lauha,RELIEVES,adaptogenic effect
Vidangadi Lauha,RELIEVES,stress
Vidangadi Lauha,RELIEVES,cognitive function
Vidangadi Lauha,RELIEVES,physical performance
Vidangadi Lauha,RELIEVES,memory
Vidangadi Lauha,RELIEVES,thinking abilities
Vidangadi Lauha,RELIEVES,orientation
Vidangadi Lauha,RELIEVES,comprehension
Vidangadi Lauha,RELIEVES,learning abilities
Vidangadi Lauha,RELIEVES,emotional control
Vidangadi Lauha,RELIEVES,inflammatory response
Vidangadi Lauha,RELIEVES,apoptosis
Vidangadi Lauha,RELIEVES,necrosis
Vidangadi Lauha,RELIEVES,memory loss
Vidangadi Lauha,RELIEVES,neuronal apoptosis
Vidangadi Lauha,RELIEVES,inflammatory processes
Vidangadi Lauha,RELIEVES,intrusive thoughts
Vidangadi Lauha,RELIEVES,cognitive disturbance
Vidangadi Lauha,RELIEVES,chronic alcohol consumption
Triphala ghrita,TREATS,cancer
Triphala ghrita,TREATS,obsessive-compulsive disorder
Triphala ghrita,TREATS,infertility
Triphala ghrita,TREATS,sleep disorders
Triphala ghrita,TREATS,anxiety
Triphala ghrita,TREATS,hypothyroidism
Triphala ghrita,TREATS,Alzheimer's disease
Triphala ghrita,TREATS,dementia
Triphala ghrita,TREATS,HIV infection
Triphala ghrita,TREATS,Parkinson's disease
Triphala ghrita,TREATS,cerebral oedema
Triphala ghrita,TREATS,Canine Cognitive Dysfunction
Triphala ghrita,TREATS,Huntington's disease
Triphala ghrita,TREATS,Alcohol Withdrawal Syndrome
Triphala ghrita,TREATS,autoimmune diseases
Triphala ghrita,TREATS,lupus
Triphala ghrita,TREATS,nephritis
Triphala ghrita,TREATS,rheumatoid diseases
Triphala ghrita,TREATS,skin inflammation
Triphala ghrita,TREATS,arthritis
Triphala ghrita,RELIEVES,sleep
Triphala ghrita,RELIEVES,adaptogenic effect
Triphala ghrita,RELIEVES,stress
Triphala ghrita,RELIEVES,cognitive function
Triphala ghrita,RELIEVES,physical performance
Triphala ghrita,RELIEVES,memory
Triphala ghrita,RELIEVES,thinking abilities
Triphala ghrita,RELIEVES,orientation
Triphala ghrita,RELIEVES,comprehension
Triphala ghrita,RELIEVES,learning abilities
Triphala ghrita,RELIEVES,emotional control
Triphala ghrita,RELIEVES,inflammatory response
Triphala ghrita,RELIEVES,apoptosis
Triphala ghrita,RELIEVES,necrosis
Triphala ghrita,RELIEVES,memory loss
Triphala ghrita,RELIEVES,neuronal apoptosis
Triphala ghrita,RELIEVES,inflammatory processes
Triphala ghrita,RELIEVES,intrusive thoughts
Triphala ghrita,RELIEVES,cognitive disturbance
Triphala ghrita,RELIEVES,chronic alcohol consumption
Mahavishagarbha taila,TREATS,cancer
Mahavishagarbha taila,TREATS,obsessive-compulsive disorder
Mahavishagarbha taila,TREATS,infertility
Mahavishagarbha taila,TREATS,sleep disorders
Mahavishagarbha taila,TREATS,anxiety
Mahavishagarbha taila,TREATS,hypothyroidism
Mahavishagarbha taila,TREATS,Alzheimer's disease
Mahavishagarbha taila,TREATS,dementia
Mahavishagarbha taila,TREATS,HIV infection
Mahavishagarbha taila,TREATS,Parkinson's disease
Mahavishagarbha taila,TREATS,cerebral oedema
Mahavishagarbha taila,TREATS,Canine Cognitive Dysfunction
Mahavishagarbha taila,TREATS,Huntington's disease
Mahavishagarbha taila,TREATS,Alcohol Withdrawal Syndrome
Mahavishagarbha taila,TREATS,autoimmune diseases
Mahavishagarbha taila,TREATS,lupus
Mahavishagarbha taila,TREATS,nephritis
Mahavishagarbha taila,TREATS,rheumatoid diseases
Mahavishagarbha taila,TREATS,skin inflammation
Mahavishagarbha taila,TREATS,arthritis
Mahavishagarbha taila,RELIEVES,sleep
Mahavishagarbha taila,RELIEVES,adaptogenic effect
Mahavishagarbha taila,RELIEVES,stress
Mahavishagarbha taila,RELIEVES,cognitive function
Mahavishagarbha taila,RELIEVES,physical performance
Mahavishagarbha taila,RELIEVES,memory
Mahavishagarbha taila,RELIEVES,thinking abilities
Mahavishagarbha taila,RELIEVES,orientation
Mahavishagarbha taila,RELIEVES,comprehension
Mahavishagarbha taila,RELIEVES,learning abilities
Mahavishagarbha taila,RELIEVES,emotional control
Mahavishagarbha taila,RELIEVES,inflammatory response
Mahavishagarbha taila,RELIEVES,apoptosis
Mahavishagarbha taila,RELIEVES,necrosis
Mahavishagarbha taila,RELIEVES,memory loss
Mahavishagarbha taila,RELIEVES,neuronal apoptosis
Mahavishagarbha taila,RELIEVES,inflammatory processes
Mahavishagarbha taila,RELIEVES,intrusive thoughts
Mahavishagarbha taila,RELIEVES,cognitive disturbance
Mahavishagarbha taila,RELIEVES,chronic alcohol consumption
Balaguduchyadi taila,TREATS,cancer
Balaguduchyadi taila,TREATS,obsessive-compulsive disorder
Balaguduchyadi taila,TREATS,infertility
Balaguduchyadi taila,TREATS,sleep disorders
Balaguduchyadi taila,TREATS,anxiety
Balaguduchyadi taila,TREATS,hypothyroidism
Balaguduchyadi taila,TREATS,Alzheimer's disease
Balaguduchyadi taila,TREATS,dementia
Balaguduchyadi taila,TREATS,HIV infection
Balaguduchyadi taila,TREATS,Parkinson's disease
Balaguduchyadi taila,TREATS,cerebral oedema
Balaguduchyadi taila,TREATS,Canine Cognitive Dysfunction
Balaguduchyadi taila,TREATS,Huntington's disease
Balaguduchyadi taila,TREATS,Alcohol Withdrawal Syndrome
Balaguduchyadi taila,TREATS,autoimmune diseases
Balaguduchyadi taila,TREATS,lupus
Balaguduchyadi taila,TREATS,nephritis
Balaguduchyadi taila,TREATS,rheumatoid diseases
Balaguduchyadi taila,TREATS,skin inflammation
Balaguduchyadi taila,TREATS,arthritis
Balaguduchyadi taila,RELIEVES,sleep
Balaguduchyadi taila,RELIEVES,adaptogenic effect
Balaguduchyadi taila,RELIEVES,stress
Balaguduchyadi taila,RELIEVES,cognitive function
Balaguduchyadi taila,RELIEVES,physical performance
Balaguduchyadi taila,RELIEVES,memory
Balaguduchyadi taila,RELIEVES,thinking abilities
Balaguduchyadi taila,RELIEVES,orientation
Balaguduchyadi taila,RELIEVES,comprehension
Balaguduchyadi taila,RELIEVES,learning abilities
Balaguduchyadi taila,RELIEVES,emotional control
Balaguduchyadi taila,RELIEVES,inflammatory response
Balaguduchyadi taila,RELIEVES,apoptosis
Balaguduchyadi taila,RELIEVES,necrosis
Balaguduchyadi taila,RELIEVES,memory loss
Balaguduchyadi taila,RELIEVES,neuronal apoptosis
Balaguduchyadi taila,RELIEVES,inflammatory processes
Balaguduchyadi taila,RELIEVES,intrusive thoughts
Balaguduchyadi taila,RELIEVES,cognitive disturbance
Balaguduchyadi taila,RELIEVES,chronic alcohol consumption
Yastimadhu Phanta,TREATS,cancer
Yastimadhu Phanta,TREATS,obsessive-compulsive disorder
Yastimadhu Phanta,TREATS,infertility
Yastimadhu Phanta,TREATS,sleep disorders
Yastimadhu Phanta,TREATS,anxiety
Yastimadhu Phanta,TREATS,hypothyroidism
Yastimadhu Phanta,TREATS,Alzheimer's disease
Yastimadhu Phanta,TREATS,dementia
Yastimadhu Phanta,TREATS,HIV infection
Yastimadhu Phanta,TREATS,Parkinson's disease
Yastimadhu Phanta,TREATS,cerebral oedema
Yastimadhu Phanta,TREATS,Canine Cognitive Dysfunction
Yastimadhu Phanta,TREATS,Huntington's disease
Yastimadhu Phanta,TREATS,Alcohol Withdrawal Syndrome
Yastimadhu Phanta,TREATS,autoimmune diseases
Yastimadhu Phanta,TREATS,lupus
Yastimadhu Phanta,TREATS,nephritis
Yastimadhu Phanta,TREATS,rheumatoid diseases
Yastimadhu Phanta,TREATS,skin inflammation
Yastimadhu Phanta,TREATS,arthritis
Yastimadhu Phanta,RELIEVES,sleep
Yastimadhu Phanta,RELIEVES,adaptogenic effect
Yastimadhu Phanta,RELIEVES,stress
Yastimadhu Phanta,RELIEVES,cognitive function
Yastimadhu Phanta,RELIEVES,physical performance
Yastimadhu Phanta,RELIEVES,memory
Yastimadhu Phanta,RELIEVES,thinking abilities
Yastimadhu Phanta,RELIEVES,orientation
Yastimadhu Phanta,RELIEVES,comprehension
Yastimadhu Phanta,RELIEVES,learning abilities
Yastimadhu Phanta,RELIEVES,emotional control
Yastimadhu Phanta,RELIEVES,inflammatory response
Yastimadhu Phanta,RELIEVES,apoptosis
Yastimadhu Phanta,RELIEVES,necrosis
Yastimadhu Phanta,RELIEVES,memory loss
Yastimadhu Phanta,RELIEVES,neuronal apoptosis
Yastimadhu Phanta,RELIEVES,inflammatory processes
Yastimadhu Phanta,RELIEVES,intrusive thoughts
Yastimadhu Phanta,RELIEVES,cognitive disturbance
Yastimadhu Phanta,RELIEVES,chronic alcohol consumption
Madanaphala yoga,TREATS,cancer
Madanaphala yoga,TREATS,obsessive-compulsive disorder
Madanaphala yoga,TREATS,infertility
Madanaphala yoga,TREATS,sleep disorders
Madanaphala yoga,TREATS,anxiety
Madanaphala yoga,TREATS,hypothyroidism
Madanaphala yoga,TREATS,Alzheimer's disease
Madanaphala yoga,TREATS,dementia
Madanaphala yoga,TREATS,HIV infection
Madanaphala yoga,TREATS,Parkinson's disease
Madanaphala yoga,TREATS,cerebral oedema
Madanaphala yoga,TREATS,Canine Cognitive Dysfunction
Madanaphala yoga,TREATS,Huntington's disease
Madanaphala yoga,TREATS,Alcohol Withdrawal Syndrome
Madanaphala yoga,TREATS,autoimmune diseases
Madanaphala yoga,TREATS,lupus
Madanaphala yoga,TREATS,nephritis
Madanaphala yoga,TREATS,rheumatoid diseases
Madanaphala yoga,TREATS,skin inflammation
Madanaphala yoga,TREATS,arthritis
Madanaphala yoga,RELIEVES,sleep
Madanaphala yoga,RELIEVES,adaptogenic effect
Madanaphala yoga,RELIEVES,stress
Madanaphala yoga,RELIEVES,cognitive function
Madanaphala yoga,RELIEVES,physical performance
Madanaphala yoga,RELIEVES,memory
Madanaphala yoga,RELIEVES,thinking abilities
Madanaphala yoga,RELIEVES,orientation
Madanaphala yoga,RELIEVES,comprehension
Madanaphala yoga,RELIEVES,learning abilities
Madanaphala yoga,RELIEVES,emotional control
Madanaphala yoga,RELIEVES,inflammatory response
Madanaphala yoga,RELIEVES,apoptosis
Madanaphala yoga,RELIEVES,necrosis
Madanaphala yoga,RELIEVES,memory loss
Madanaphala yoga,RELIEVES,neuronal apoptosis
Madanaphala yoga,RELIEVES,inflammatory processes
Madanaphala yoga,RELIEVES,intrusive thoughts
Madanaphala yoga,RELIEVES,cognitive disturbance
Madanaphala yoga,RELIEVES,chronic alcohol consumption
Avipatti choorna,TREATS,cancer
Avipatti choorna,TREATS,obsessive-compulsive disorder
Avipatti choorna,TREATS,infertility
Avipatti choorna,TREATS,sleep disorders
Avipatti choorna,TREATS,anxiety
Avipatti choorna,TREATS,hypothyroidism
Avipatti choorna,TREATS,Alzheimer's disease
Avipatti choorna,TREATS,dementia
Avipatti choorna,TREATS,HIV infection
Avipatti choorna,TREATS,Parkinson's disease
Avipatti choorna,TREATS,cerebral oedema
Avipatti choorna,TREATS,Canine Cognitive Dysfunction
Avipatti choorna,TREATS,Huntington's disease
Avipatti choorna,TREATS,Alcohol Withdrawal Syndrome
Avipatti choorna,TREATS,autoimmune diseases
Avipatti choorna,TREATS,lupus
Avipatti choorna,TREATS,nephritis
Avipatti choorna,TREATS,rheumatoid diseases
Avipatti choorna,TREATS,skin inflammation
Avipatti choorna,TREATS,arthritis
Avipatti choorna,RELIEVES,sleep
Avipatti choorna,RELIEVES,adaptogenic effect
Avipatti choorna,RELIEVES,stress
Avipatti choorna,RELIEVES,cognitive function
Avipatti choorna,RELIEVES,physical performance
Avipatti choorna,RELIEVES,memory
Avipatti choorna,RELIEVES,thinking abilities
Avipatti choorna,RELIEVES,orientation
Avipatti choorna,RELIEVES,comprehension
Avipatti choorna,RELIEVES,learning abilities
Avipatti choorna,RELIEVES,emotional control
Avipatti choorna,RELIEVES,inflammatory response
Avipatti choorna,RELIEVES,apoptosis
Avipatti choorna,RELIEVES,necrosis
Avipatti choorna,RELIEVES,memory loss
Avipatti choorna,RELIEVES,neuronal apoptosis
Avipatti choorna,RELIEVES,inflammatory processes
Avipatti choorna,RELIEVES,intrusive thoughts
Avipatti choorna,RELIEVES,cognitive disturbance
Avipatti choorna,RELIEVES,chronic alcohol consumption
Nimbamritadi eranda,TREATS,cancer
Nimbamritadi eranda,TREATS,obsessive-compulsive disorder
Nimbamritadi eranda,TREATS,infertility
Nimbamritadi eranda,TREATS,sleep disorders
Nimbamritadi eranda,TREATS,anxiety
Nimbamritadi eranda,TREATS,hypothyroidism
Nimbamritadi eranda,TREATS,Alzheimer's disease
Nimbamritadi eranda,TREATS,dementia
Nimbamritadi eranda,TREATS,HIV infection
Nimbamritadi eranda,TREATS,Parkinson's disease
Nimbamritadi eranda,TREATS,cerebral oedema
Nimbamritadi eranda,TREATS,Canine Cognitive Dysfunction
Nimbamritadi eranda,TREATS,Huntington's disease
Nimbamritadi eranda,TREATS,Alcohol Withdrawal Syndrome
Nimbamritadi eranda,TREATS,autoimmune diseases
Nimbamritadi eranda,TREATS,lupus
Nimbamritadi eranda,TREATS,nephritis
Nimbamritadi eranda,TREATS,rheumatoid diseases
Nimbamritadi eranda,TREATS,skin inflammation
Nimbamritadi eranda,TREATS,arthritis
Nimbamritadi eranda,RELIEVES,sleep
Nimbamritadi eranda,RELIEVES,adaptogenic effect
Nimbamritadi eranda,RELIEVES,stress
Nimbamritadi eranda,RELIEVES,cognitive function
Nimbamritadi eranda,RELIEVES,physical performance
Nimbamritadi eranda,RELIEVES,memory
Nimbamritadi eranda,RELIEVES,thinking abilities
Nimbamritadi eranda,RELIEVES,orientation
Nimbamritadi eranda,RELIEVES,comprehension
Nimbamritadi eranda,RELIEVES,learning abilities
Nimbamritadi eranda,RELIEVES,emotional control
Nimbamritadi eranda,RELIEVES,inflammatory response
Nimbamritadi eranda,RELIEVES,apoptosis
Nimbamritadi eranda,RELIEVES,necrosis
Nimbamritadi eranda,RELIEVES,memory loss
Nimbamritadi eranda,RELIEVES,neuronal apoptosis
Nimbamritadi eranda,RELIEVES,inflammatory processes
Nimbamritadi eranda,RELIEVES,intrusive thoughts
Nimbamritadi eranda,RELIEVES,cognitive disturbance
Nimbamritadi eranda,RELIEVES,chronic alcohol consumption
Nisha-Amalaki,TREATS,cancer
Nisha-Amalaki,TREATS,obsessive-compulsive disorder
Nisha-Amalaki,TREATS,infertility
Nisha-Amalaki,TREATS,sleep disorders
Nisha-Amalaki,TREATS,anxiety
Nisha-Amalaki,TREATS,hypothyroidism
Nisha-Amalaki,TREATS,Alzheimer's disease
Nisha-Amalaki,TREATS,dementia
Nisha-Amalaki,TREATS,HIV infection
Nisha-Amalaki,TREATS,Parkinson's disease
Nisha-Amalaki,TREATS,cerebral oedema
Nisha-Amalaki,TREATS,Canine Cognitive Dysfunction
Nisha-Amalaki,TREATS,Huntington's disease
Nisha-Amalaki,TREATS,Alcohol Withdrawal Syndrome
Nisha-Amalaki,TREATS,autoimmune diseases
Nisha-Amalaki,TREATS,lupus
Nisha-Amalaki,TREATS,nephritis
Nisha-Amalaki,TREATS,rheumatoid diseases
Nisha-Amalaki,TREATS,skin inflammation
Nisha-Amalaki,TREATS,arthritis
Nisha-Amalaki,RELIEVES,sleep
Nisha-Amalaki,RELIEVES,adaptogenic effect
Nisha-Amalaki,RELIEVES,stress
Nisha-Amalaki,RELIEVES,cognitive function
Nisha-Amalaki,RELIEVES,physical performance
Nisha-Amalaki,RELIEVES,memory
Nisha-Amalaki,RELIEVES,thinking abilities
Nisha-Amalaki,RELIEVES,orientation
Nisha-Amalaki,RELIEVES,comprehension
Nisha-Amalaki,RELIEVES,learning abilities
Nisha-Amalaki,RELIEVES,emotional control
Nisha-Amalaki,RELIEVES,inflammatory response
Nisha-Amalaki,RELIEVES,apoptosis
Nisha-Amalaki,RELIEVES,necrosis
Nisha-Amalaki,RELIEVES,memory loss
Nisha-Amalaki,RELIEVES,neuronal apoptosis
Nisha-Amalaki,RELIEVES,inflammatory processes
Nisha-Amalaki,RELIEVES,intrusive thoughts
Nisha-Amalaki,RELIEVES,cognitive disturbance
Nisha-Amalaki,RELIEVES,chronic alcohol consumption
PDBT,TREATS,cancer
PDBT,TREATS,obsessive-compulsive disorder
PDBT,TREATS,infertility
PDBT,TREATS,sleep disorders
PDBT,TREATS,anxiety
PDBT,TREATS,hypothyroidism
PDBT,TREATS,Alzheimer's disease
PDBT,TREATS,dementia
PDBT,TREATS,HIV infection
PDBT,TREATS,Parkinson's disease
PDBT,TREATS,cerebral oedema
PDBT,TREATS,Canine Cognitive Dysfunction
PDBT,TREATS,Huntington's disease
PDBT,TREATS,Alcohol Withdrawal Syndrome
PDBT,TREATS,autoimmune diseases
PDBT,TREATS,lupus
PDBT,TREATS,nephritis
PDBT,TREATS,rheumatoid diseases
PDBT,TREATS,skin inflammation
PDBT,TREATS,arthritis
PDBT,RELIEVES,sleep
PDBT,RELIEVES,adaptogenic effect
PDBT,RELIEVES,stress
PDBT,RELIEVES,cognitive function
PDBT,RELIEVES,physical performance
PDBT,RELIEVES,memory
PDBT,RELIEVES,thinking abilities
PDBT,RELIEVES,orientation
PDBT,RELIEVES,comprehension
PDBT,RELIEVES,learning abilities
PDBT,RELIEVES,emotional control
PDBT,RELIEVES,inflammatory response
PDBT,RELIEVES,apoptosis
PDBT,RELIEVES,necrosis
PDBT,RELIEVES,memory loss
PDBT,RELIEVES,neuronal apoptosis
PDBT,RELIEVES,inflammatory processes
PDBT,RELIEVES,intrusive thoughts
PDBT,RELIEVES,cognitive disturbance
PDBT,RELIEVES,chronic alcohol consumption
Gokshuradi Guggulu,TREATS,cancer
Gokshuradi Guggulu,TREATS,obsessive-compulsive disorder
Gokshuradi Guggulu,TREATS,infertility
Gokshuradi Guggulu,TREATS,sleep disorders
Gokshuradi Guggulu,TREATS,anxiety
Gokshuradi Guggulu,TREATS,hypothyroidism
Gokshuradi Guggulu,TREATS,Alzheimer's disease
Gokshuradi Guggulu,TREATS,dementia
Gokshuradi Guggulu,TREATS,HIV infection
Gokshuradi Guggulu,TREATS,Parkinson's disease
Gokshuradi Guggulu,TREATS,cerebral oedema
Gokshuradi Guggulu,TREATS,Canine Cognitive Dysfunction
Gokshuradi Guggulu,TREATS,Huntington's disease
Gokshuradi Guggulu,TREATS,Alcohol Withdrawal Syndrome
Gokshuradi Guggulu,TREATS,autoimmune diseases
Gokshuradi Guggulu,TREATS,lupus
Gokshuradi Guggulu,TREATS,nephritis
Gokshuradi Guggulu,TREATS,rheumatoid diseases
Gokshuradi Guggulu,TREATS,skin inflammation
Gokshuradi Guggulu,TREATS,arthritis
Gokshuradi Guggulu,RELIEVES,sleep
Gokshuradi Guggulu,RELIEVES,adaptogenic effect
Gokshuradi Guggulu,RELIEVES,stress
Gokshuradi Guggulu,RELIEVES,cognitive function
Gokshuradi Guggulu,RELIEVES,physical performance
Gokshuradi Guggulu,RELIEVES,memory
Gokshuradi Guggulu,RELIEVES,thinking abilities
Gokshuradi Guggulu,RELIEVES,orientation
Gokshuradi Guggulu,RELIEVES,comprehension
Gokshuradi Guggulu,RELIEVES,learning abilities
Gokshuradi Guggulu,RELIEVES,emotional control
Gokshuradi Guggulu,RELIEVES,inflammatory response
Gokshuradi Guggulu,RELIEVES,apoptosis
Gokshuradi Guggulu,RELIEVES,necrosis
Gokshuradi Guggulu,RELIEVES,memory loss
Gokshuradi Guggulu,RELIEVES,neuronal apoptosis
Gokshuradi Guggulu,RELIEVES,inflammatory processes
Gokshuradi Guggulu,RELIEVES,intrusive thoughts
Gokshuradi Guggulu,RELIEVES,cognitive disturbance
Gokshuradi Guggulu,RELIEVES,chronic alcohol consumption
Guduchi Churna,TREATS,cancer
Guduchi Churna,TREATS,obsessive-compulsive disorder
Guduchi Churna,TREATS,infertility
Guduchi Churna,TREATS,sleep disorders
Guduchi Churna,TREATS,anxiety
Guduchi Churna,TREATS,hypothyroidism
Guduchi Churna,TREATS,Alzheimer's disease
Guduchi Churna,TREATS,dementia
Guduchi Churna,TREATS,HIV infection
Guduchi Churna,TREATS,Parkinson's disease
Guduchi Churna,TREATS,cerebral oedema
Guduchi Churna,TREATS,Canine Cognitive Dysfunction
Guduchi Churna,TREATS,Huntington's disease
Guduchi Churna,TREATS,Alcohol Withdrawal Syndrome
Guduchi Churna,TREATS,autoimmune diseases
Guduchi Churna,TREATS,lupus
Guduchi Churna,TREATS,nephritis
Guduchi Churna,TREATS,rheumatoid diseases
Guduchi Churna,TREATS,skin inflammation
Guduchi Churna,TREATS,arthritis
Guduchi Churna,RELIEVES,sleep
Guduchi Churna,RELIEVES,adaptogenic effect
Guduchi Churna,RELIEVES,stress
Guduchi Churna,RELIEVES,cognitive function
Guduchi Churna,RELIEVES,physical performance
Guduchi Churna,RELIEVES,memory
Guduchi Churna,RELIEVES,thinking abilities
Guduchi Churna,RELIEVES,orientation
Guduchi Churna,RELIEVES,comprehension
Guduchi Churna,RELIEVES,learning abilities
Guduchi Churna,RELIEVES,emotional control
Guduchi Churna,RELIEVES,inflammatory response
Guduchi Churna,RELIEVES,apoptosis
Guduchi Churna,RELIEVES,necrosis
Guduchi Churna,RELIEVES,memory loss
Guduchi Churna,RELIEVES,neuronal apoptosis
Guduchi Churna,RELIEVES,inflammatory processes
Guduchi Churna,RELIEVES,intrusive thoughts
Guduchi Churna,RELIEVES,cognitive disturbance
Guduchi Churna,RELIEVES,chronic alcohol consumption
Madhumehari Ghana Vati,TREATS,cancer
Madhumehari Ghana Vati,TREATS,obsessive-compulsive disorder
Madhumehari Ghana Vati,TREATS,infertility
Madhumehari Ghana Vati,TREATS,sleep disorders
Madhumehari Ghana Vati,TREATS,anxiety
Madhumehari Ghana Vati,TREATS,hypothyroidism
Madhumehari Ghana Vati,TREATS,Alzheimer's disease
Madhumehari Ghana Vati,TREATS,dementia
Madhumehari Ghana Vati,TREATS,HIV infection
Madhumehari Ghana Vati,TREATS,Parkinson's disease
Madhumehari Ghana Vati,TREATS,cerebral oedema
Madhumehari Ghana Vati,TREATS,Canine Cognitive Dysfunction
Madhumehari Ghana Vati,TREATS,Huntington's disease
Madhumehari Ghana Vati,TREATS,Alcohol Withdrawal Syndrome
Madhumehari Ghana Vati,TREATS,autoimmune diseases
Madhumehari Ghana Vati,TREATS,lupus
Madhumehari Ghana Vati,TREATS,nephritis
Madhumehari Ghana Vati,TREATS,rheumatoid diseases
Madhumehari Ghana Vati,TREATS,skin inflammation
Madhumehari Ghana Vati,TREATS,arthritis
Madhumehari Ghana Vati,RELIEVES,sleep
Madhumehari Ghana Vati,RELIEVES,adaptogenic effect
Madhumehari Ghana Vati,RELIEVES,stress
Madhumehari Ghana Vati,RELIEVES,cognitive function
Madhumehari Ghana Vati,RELIEVES,physical performance
Madhumehari Ghana Vati,RELIEVES,memory
Madhumehari Ghana Vati,RELIEVES,thinking abilities
Madhumehari Ghana Vati,RELIEVES,orientation
Madhumehari Ghana Vati,RELIEVES,comprehension
Madhumehari Ghana Vati,RELIEVES,learning abilities
Madhumehari Ghana Vati,RELIEVES,emotional control
Madhumehari Ghana Vati,RELIEVES,inflammatory response
Madhumehari Ghana Vati,RELIEVES,apoptosis
Madhumehari Ghana Vati,RELIEVES,necrosis
Madhumehari Ghana Vati,RELIEVES,memory loss
Madhumehari Ghana Vati,RELIEVES,neuronal apoptosis
Madhumehari Ghana Vati,RELIEVES,inflammatory processes
Madhumehari Ghana Vati,RELIEVES,intrusive thoughts
Madhumehari Ghana Vati,RELIEVES,cognitive disturbance
Madhumehari Ghana Vati,RELIEVES,chronic alcohol consumption
Darvyadi Kwatha,TREATS,cancer
Darvyadi Kwatha,TREATS,obsessive-compulsive disorder
Darvyadi Kwatha,TREATS,infertility
Darvyadi Kwatha,TREATS,sleep disorders
Darvyadi Kwatha,TREATS,anxiety
Darvyadi Kwatha,TREATS,hypothyroidism
Darvyadi Kwatha,TREATS,Alzheimer's disease
Darvyadi Kwatha,TREATS,dementia
Darvyadi Kwatha,TREATS,HIV infection
Darvyadi Kwatha,TREATS,Parkinson's disease
Darvyadi Kwatha,TREATS,cerebral oedema
Darvyadi Kwatha,TREATS,Canine Cognitive Dysfunction
Darvyadi Kwatha,TREATS,Huntington's disease
Darvyadi Kwatha,TREATS,Alcohol Withdrawal Syndrome
Darvyadi Kwatha,TREATS,autoimmune diseases
Darvyadi Kwatha,TREATS,lupus
Darvyadi Kwatha,TREATS,nephritis
Darvyadi Kwatha,TREATS,rheumatoid diseases
Darvyadi Kwatha,TREATS,skin inflammation
Darvyadi Kwatha,TREATS,arthritis
Darvyadi Kwatha,RELIEVES,sleep
Darvyadi Kwatha,RELIEVES,adaptogenic effect
Darvyadi Kwatha,RELIEVES,stress
Darvyadi Kwatha,RELIEVES,cognitive function
Darvyadi Kwatha,RELIEVES,physical performance
Darvyadi Kwatha,RELIEVES,memory
Darvyadi Kwatha,RELIEVES,thinking abilities
Darvyadi Kwatha,RELIEVES,orientation
Darvyadi Kwatha,RELIEVES,comprehension
Darvyadi Kwatha,RELIEVES,learning abilities
Darvyadi Kwatha,RELIEVES,emotional control
Darvyadi Kwatha,RELIEVES,inflammatory response
Darvyadi Kwatha,RELIEVES,apoptosis
Darvyadi Kwatha,RELIEVES,necrosis
Darvyadi Kwatha,RELIEVES,memory loss
Darvyadi Kwatha,RELIEVES,neuronal apoptosis
Darvyadi Kwatha,RELIEVES,inflammatory processes
Darvyadi Kwatha,RELIEVES,intrusive thoughts
Darvyadi Kwatha,RELIEVES,cognitive disturbance
Darvyadi Kwatha,RELIEVES,chronic alcohol consumption
Ashwagandha root extract,TREATS,cancer
Ashwagandha root extract,TREATS,obsessive-compulsive disorder
Ashwagandha root extract,TREATS,infertility
Ashwagandha root extract,TREATS,sleep disorders
Ashwagandha root extract,TREATS,anxiety
Ashwagandha root extract,TREATS,hypothyroidism
Ashwagandha root extract,TREATS,Alzheimer's disease
Ashwagandha root extract,TREATS,dementia
Ashwagandha root extract,TREATS,HIV infection
Ashwagandha root extract,TREATS,Parkinson's disease
Ashwagandha root extract,TREATS,cerebral oedema
Ashwagandha root extract,TREATS,Canine Cognitive Dysfunction
Ashwagandha root extract,TREATS,Huntington's disease
Ashwagandha root extract,TREATS,Alcohol Withdrawal Syndrome
Ashwagandha root extract,TREATS,autoimmune diseases
Ashwagandha root extract,TREATS,lupus
Ashwagandha root extract,TREATS,nephritis
Ashwagandha root extract,TREATS,rheumatoid diseases
Ashwagandha root extract,TREATS,skin inflammation
Ashwagandha root extract,TREATS,arthritis
Ashwagandha root extract,RELIEVES,sleep
Ashwagandha root extract,RELIEVES,adaptogenic effect
